X,Y,(B-V)_0,(U-B)_0,M_V=m_v-5logd+5-A_V,m_U,m_B,m_V,m_R,Radius,U-B,B-V,V-R
3793.41,1888.33,0.35,-0.01,3.02,11.36,11.37,11.02,10.86,11.3,-0.01,0.35,0.16
2503.3,1889.59,0.38,0.21,3.57,12.16,11.95,11.57,11.43,3.1,0.21,0.38,0.14
2503.3,1889.59,0.38,0.21,3.57,12.16,11.95,11.57,11.43,3.1,0.21,0.38,0.14
2534.95,1895.03,0.74,0.14,6.55,15.43,15.29,14.55,14.2,3.2,0.14,0.74,0.35
2194.97,1903.1,1.11,0.4,8,17.51,17.11,16,15.39,2.4,0.4,1.11,0.61
2812.14,1906.24,0.47,0.21,6.6,15.28,15.07,14.6,14.4,4.7,0.21,0.47,0.2
2789.99,1906.29,0.79,0.35,7.95,17.09,16.74,15.95,15.52,4.5,0.35,0.79,0.43
2681.67,1908.52,0.38,0.18,4.24,12.8,12.62,12.24,12.11,3.9,0.18,0.38,0.13
2820.41,1930.74,0.8,0.27,6.47,15.54,15.27,14.47,14.03,4.6,0.27,0.8,0.44
2168.76,1932.65,0.84,0.29,7.67,16.8,16.51,15.67,15.21,2.3,0.29,0.84,0.46
2442.91,1943.05,0.49,0.22,5.56,14.27,14.05,13.56,13.35,2.6,0.22,0.49,0.21
2275.28,1948.52,0.67,0.33,7.98,16.98,16.65,15.98,15.66,2.1,0.33,0.67,0.32
2698.3,1950.13,0.13,-0.25,2.78,10.66,10.91,10.78,10.72,3.8,-0.25,0.13,0.06
3451.55,1953.72,0.66,0.02,6.96,15.64,15.62,14.96,14.66,8.8,0.02,0.66,0.3
2044.2,1953.8,0.8,0.61,7.84,17.25,16.64,15.84,15.31,2.5,0.61,0.8,0.53
3827.75,1957.17,0.83,0.14,6.87,15.84,15.7,14.87,14.44,11.4,0.14,0.83,0.43
3458.94,1962.21,0.58,0.3,7.42,16.3,16,15.42,15.31,8.8,0.3,0.58,0.11
3390.31,1967.71,0.91,0.39,7.76,17.06,16.67,15.76,15.33,8.4,0.39,0.91,0.43
2146.38,1969.45,0.78,0.24,6.78,15.8,15.56,14.78,14.39,2.1,0.24,0.78,0.39
3245.96,1974.15,0.89,0.13,7.52,16.54,16.41,15.52,15,7.4,0.13,0.89,0.52
2990.58,1974.34,0.26,0.06,3.47,11.79,11.73,11.47,11.42,5.6,0.06,0.26,0.05
2098.34,1975.49,0.65,0.35,6.34,15.34,14.99,14.34,14.03,2.2,0.35,0.65,0.31
2373.1,1976.65,0.79,0.24,7.4,16.43,16.19,15.4,14.96,2.1,0.24,0.79,0.44
2869.21,1981.05,0.09,-0.36,2.27,10,10.36,10.27,10.26,4.8,-0.36,0.09,0.01
3037.2,1993.24,0.28,0.08,3.84,12.2,12.12,11.84,11.81,5.9,0.08,0.28,0.03
2238.96,1993.83,0.95,0.84,7.3,17.09,16.25,15.3,14.61,1.8,0.84,0.95,0.69
3250.92,1994.44,1.02,1.09,7.11,17.22,16.13,15.11,14.55,7.4,1.09,1.02,0.56
2460.84,2005.43,0.33,0.17,4.24,12.74,12.57,12.24,12.14,2.3,0.17,0.33,0.1
2305.34,2022.92,0.87,0.37,7.33,16.57,16.2,15.33,14.87,1.6,0.37,0.87,0.46
2630.95,2024.25,0.66,0.41,7.61,16.68,16.27,15.61,15.26,3.2,0.41,0.66,0.35
2055.34,2034.31,0.25,0.1,3.78,12.13,12.03,11.78,11.72,2,0.1,0.25,0.06
3948.66,2036.86,0.65,0.1,7.61,16.36,16.26,15.61,15.27,12.2,0.1,0.65,0.34
2762.9,2040.21,0.91,0.25,7.77,16.93,16.68,15.77,15.3,4,0.25,0.91,0.47
3036.45,2041.51,0.51,0.2,4.97,13.68,13.48,12.97,12.76,5.8,0.2,0.51,0.21
3105.5,2042.86,1.05,0.85,5.93,15.83,14.98,13.93,13.4,6.3,0.85,1.05,0.53
3840.61,2051.5,0.6,0.27,6.89,15.76,15.49,14.89,14.6,11.4,0.27,0.6,0.29
2626.25,2057.06,1.31,0.91,4.84,15.06,14.15,12.84,12.19,3,0.91,1.31,0.65
3714.97,2058.17,1.21,0.79,5.38,15.38,14.59,13.38,12.81,10.5,0.79,1.21,0.57
2325.8,2074.17,0.74,0.16,5.2,14.1,13.94,13.2,12.84,1.3,0.16,0.74,0.36
3311.58,2082.57,0.23,0.08,3.99,12.3,12.22,11.99,11.95,7.7,0.08,0.23,0.04
3773.65,2088.62,0.64,0.16,7.57,16.37,16.21,15.57,15.18,10.9,0.16,0.64,0.39
3460.94,2094.55,0.54,0.22,7.32,16.08,15.86,15.32,15.05,8.7,0.22,0.54,0.27
3894.94,2097.38,1.3,0.65,7.45,17.4,16.75,15.45,14.78,11.7,0.65,1.3,0.67
2453.95,2098.49,0.84,0.19,6.73,15.76,15.57,14.73,14.31,1.8,0.19,0.84,0.42
2689.44,2104.41,0.27,0,3.38,11.65,11.65,11.38,11.32,3.3,0,0.27,0.06
2689.44,2104.41,0.27,0,3.38,11.65,11.65,11.38,11.32,3.3,0,0.27,0.06
3011.49,2114.02,0.35,-0.02,6.79,15.12,15.14,14.79,14.68,5.5,-0.02,0.35,0.11
3317.78,2117.33,0.38,0.16,4.57,13.11,12.95,12.57,12.45,7.7,0.16,0.38,0.12
2467.19,2117.52,1.54,2.17,7.01,18.72,16.55,15.01,14.14,1.8,2.17,1.54,0.87
3274.67,2120.44,0.93,0.46,7.03,16.42,15.96,15.03,14.58,7.4,0.46,0.93,0.45
2691.34,2130.41,1.2,0.36,7.87,17.43,17.07,15.87,15.25,3.3,0.36,1.2,0.62
2245.96,2137.66,0.76,0.22,6.29,15.27,15.05,14.29,13.91,0.7,0.22,0.76,0.38
2802.25,2139.22,1.36,0.99,4.65,15,14.01,12.65,11.99,4,0.99,1.36,0.66
2851.9,2146.42,0.4,0.21,3.89,12.5,12.29,11.89,11.76,4.4,0.21,0.4,0.13
2222.75,2146.8,0.9,0.55,7.38,16.83,16.28,15.38,14.86,0.7,0.55,0.9,0.52
3675.22,2150.25,0.43,0.24,6.77,15.44,15.2,14.77,14.64,10.2,0.24,0.43,0.13
3157.53,2159.12,0.39,0.18,5.9,14.47,14.29,13.9,13.79,6.5,0.18,0.39,0.11
3365.3,2171.11,0.63,0.06,3.81,12.5,12.44,11.81,11.54,8,0.06,0.63,0.27
3632.53,2171.47,1.72,1.74,6.19,17.65,15.91,14.19,13.32,9.9,1.74,1.72,0.87
2235.48,2194.41,0.55,0.15,5.41,14.11,13.96,13.41,13.15,0.3,0.15,0.55,0.26
3616.97,2197.74,1.27,0.9,7.09,17.26,16.36,15.09,14.48,9.7,0.9,1.27,0.61
3151.51,2199.16,0.43,-0.24,7.78,15.97,16.21,15.78,15.58,6.4,-0.24,0.43,0.2
2141.42,2203.08,0.62,0.16,5.34,14.12,13.96,13.34,13.03,0.8,0.16,0.62,0.31
2903.26,2205.12,0.58,0.26,7.82,16.66,16.4,15.82,15.55,4.7,0.26,0.58,0.27
2210.53,2215.19,0.92,0.6,7.74,17.26,16.66,15.74,15.19,0.3,0.6,0.92,0.55
2941.85,2220.03,0.88,0.36,7.64,16.88,16.52,15.64,15.11,5,0.36,0.88,0.53
2287.11,2220.36,1.29,0.45,7.64,17.38,16.93,15.64,14.95,0.4,0.45,1.29,0.69
3469.72,2226.29,0.92,0.71,7.13,16.76,16.05,15.13,14.65,8.7,0.71,0.92,0.48
3365.58,2229.93,0.03,-0.4,2.14,9.77,10.17,10.14,10.15,8,-0.4,0.03,-0.01
2920.09,2230.87,0.48,0.07,7.71,16.26,16.19,15.71,15.48,4.8,0.07,0.48,0.23
2368.2,2231.75,0.6,0.24,7.21,16.05,15.81,15.21,14.97,0.9,0.24,0.6,0.24
3678.08,2231.86,0.2,-0.02,3.36,11.54,11.56,11.36,11.34,10.2,-0.02,0.2,0.02
2538.05,2233.25,0.3,0.09,3.94,12.33,12.24,11.94,11.85,2.1,0.09,0.3,0.09
2961.31,2259.95,0.82,0.35,7.01,16.18,15.83,15.01,14.57,5.1,0.35,0.82,0.44
2787.73,2260.59,0.99,0.41,6.92,16.32,15.91,14.92,14.47,3.9,0.41,0.99,0.45
2334.28,2267.06,0.71,0.41,6.9,16.02,15.61,14.9,14.57,0.7,0.41,0.71,0.33
3851.87,2268.94,0.45,0.19,4.8,13.44,13.25,12.8,12.63,11.4,0.19,0.45,0.17
2827.27,2270.02,0.4,0.36,7.93,16.69,16.33,15.93,15.72,4.1,0.36,0.4,0.21
3364.38,2282.97,0.17,-0.07,2.88,10.98,11.05,10.88,10.87,7.9,-0.07,0.17,0.01
2210.77,2293.54,0.83,0.2,7.02,16.05,15.85,15.02,14.55,0.4,0.2,0.83,0.47
2697.71,2295.45,0.64,0.1,5.86,14.6,14.5,13.86,13.54,3.2,0.1,0.64,0.32
3741.44,2296.08,0.41,0.41,7.46,16.28,15.87,15.46,16.62,10.6,0.41,0.41,-1.16
3752.73,2298.72,0.45,0.32,6.88,15.65,15.33,14.88,14.67,10.7,0.32,0.45,0.21
2345.36,2309.74,0.77,0.1,6.83,15.7,15.6,14.83,14.45,0.9,0.1,0.77,0.38
3284.23,2309.92,0.69,0.22,7.96,16.87,16.65,15.96,15.59,7.4,0.22,0.69,0.37
3522.1,2334.13,0.71,0.06,6.74,15.51,15.45,14.74,14.42,9.1,0.06,0.71,0.32
3982.25,2344.57,0.43,0.22,7.74,16.39,16.17,15.74,15.56,12.3,0.22,0.43,0.18
2339.86,2346.53,1.22,1.13,7.54,17.89,16.76,15.54,14.84,1,1.13,1.22,0.7
2237.13,2349.54,1.11,1.18,7.03,17.32,16.14,15.03,14.47,0.8,1.18,1.11,0.56
3067.39,2358.88,0.48,0.2,4.51,13.19,12.99,12.51,12.32,5.9,0.2,0.48,0.19
2380.29,2362.8,0.69,0.36,7.56,16.61,16.25,15.56,15.23,1.3,0.36,0.69,0.33
2146.18,2363.28,0.31,0.08,3.4,11.79,11.71,11.4,11.35,1.1,0.08,0.31,0.05
2226.45,2376.12,0.61,0.19,5.65,14.45,14.26,13.65,13.34,1,0.19,0.61,0.31
3513.92,2376.98,0.29,0.12,4.23,12.64,12.52,12.23,12.18,9.1,0.12,0.29,0.05
3294.83,2386.34,0.31,0.14,4.3,12.75,12.61,12.3,12.21,7.5,0.14,0.31,0.09
2458.59,2405.07,1.05,0.39,7.96,17.4,17.01,15.96,15.44,1.9,0.39,1.05,0.52
2338.8,2411.44,0.77,0.36,7.12,16.25,15.89,15.12,14.71,1.4,0.36,0.77,0.41
3507.12,2425.19,0.49,0.24,6.6,15.33,15.09,14.6,14.37,9,0.24,0.49,0.23
2694.42,2431.88,0.26,0.08,3.69,12.03,11.95,11.69,11.64,3.5,0.08,0.26,0.05
2421.88,2437.14,0.67,0.42,7.41,16.5,16.08,15.41,15.04,1.9,0.42,0.67,0.37
2949.45,2441.97,0.97,0.47,6.53,15.97,15.5,14.53,14.05,5.2,0.47,0.97,0.48
3900.65,2442.76,0.47,0.19,6.01,14.67,14.48,14.01,13.84,11.8,0.19,0.47,0.17
3365.86,2447.39,0.56,0.2,7.86,16.62,16.42,15.86,15.47,8.1,0.2,0.56,0.39
2455.37,2451.58,0.59,0.25,7.6,16.44,16.19,15.6,15.27,2.1,0.25,0.59,0.33
2640.57,2452.38,0.73,0.35,7.77,16.85,16.5,15.77,15.37,3.2,0.35,0.73,0.4
3873.6,2460.62,0.54,0.21,7.65,16.4,16.19,15.65,15.36,11.7,0.21,0.54,0.29
3203.35,2465.75,0.11,-0.17,2.45,10.39,10.56,10.45,10.43,7,-0.17,0.11,0.02
2577.72,2471.66,0.15,-0.06,2.94,11.03,11.09,10.94,10.93,2.9,-0.06,0.15,0.01
3850.74,2471.72,0.94,0.43,7.89,17.26,16.83,15.89,15.39,11.5,0.43,0.94,0.5
2621.46,2476.71,0.71,0.13,6.22,15.06,14.93,14.22,13.86,3.2,0.13,0.71,0.36
3560.8,2477.75,0.86,0.22,7.69,16.77,16.55,15.69,15.29,9.5,0.22,0.86,0.4
2919.39,2483.14,0.46,0.18,4.07,12.71,12.53,12.07,11.96,5.1,0.18,0.46,0.11
3012.57,2483.73,0.56,0.33,7.23,16.12,15.79,15.23,14.96,5.7,0.33,0.56,0.27
2197.35,2494.47,0.35,0.18,4.33,12.86,12.68,12.33,12.24,1.8,0.18,0.35,0.09
3919.63,2494.69,0.8,0.14,7.08,16.02,15.88,15.08,14.68,12,0.14,0.8,0.4
2420.74,2494.85,0.05,-0.52,0.22,7.75,8.27,8.22,8.24,2.2,-0.52,0.05,-0.02
3054.31,2512.35,0.51,0.22,4.16,12.89,12.67,12.16,11.97,6.1,0.22,0.51,0.19
3291.87,2520,0.49,0.13,4.78,13.4,13.27,12.78,12.59,7.7,0.13,0.49,0.19
3549.57,2527.94,0.63,0.05,5.39,14.07,14.02,13.39,13.1,9.5,0.05,0.63,0.29
3589.39,2530.18,0.81,0.18,6.49,15.48,15.3,14.49,14.15,9.8,0.18,0.81,0.34
3473.39,2533.88,1.33,0.87,6.44,16.64,15.77,14.44,13.84,9,0.87,1.33,0.6
3224.92,2534.34,0.21,0.01,2.9,11.12,11.11,10.9,10.87,7.3,0.01,0.21,0.03
2216.03,2537.41,0.31,0.12,3.73,12.16,12.04,11.73,11.7,2.1,0.12,0.31,0.03
2282.62,2537.83,0.14,-0.29,2.11,9.96,10.25,10.11,10.06,2.1,-0.29,0.14,0.05
2166.51,2540.33,0.82,0.42,5.25,14.49,14.07,13.25,12.87,2.2,0.42,0.82,0.38
3036.98,2542.01,1.1,0.66,6.42,16.18,15.52,14.42,13.89,6,0.66,1.1,0.53
2322.39,2551.51,0.12,-0.22,2.76,10.66,10.88,10.76,10.71,2.3,-0.22,0.12,0.05
3621.97,2557.18,1.82,2.18,5.35,17.35,15.17,13.35,12.43,10,2.18,1.82,0.92
2497.21,2574.36,0.14,-0.11,2.94,10.97,11.08,10.94,10.95,3,-0.11,0.14,-0.01
2639.71,2580.61,0.8,0.35,6.84,15.99,15.64,14.84,14.4,3.7,0.35,0.8,0.44
3011.66,2583.77,0.68,0.09,6.15,14.92,14.83,14.15,13.83,6,0.09,0.68,0.32
2944.44,2586.24,1.05,-0.02,7.84,16.87,16.89,15.84,15.33,5.5,-0.02,1.05,0.51
3039.56,2593,0.94,0.35,7.94,17.23,16.88,15.94,15.39,6.2,0.35,0.94,0.55
3964.22,2604.63,0.53,0.25,7.56,16.34,16.09,15.56,15.38,12.5,0.25,0.53,0.18
2309.79,2613.54,1.4,1.43,5.81,16.64,15.21,13.81,13.11,2.7,1.43,1.4,0.7
2239.99,2617.53,0.14,-0.13,2.61,10.62,10.75,10.61,10.59,2.7,-0.13,0.14,0.02
2996.09,2619.7,0.72,0.11,7.97,16.8,16.69,15.97,15.62,6,0.11,0.72,0.35
2946.01,2622.52,0.4,0.2,4.32,12.92,12.72,12.32,12.19,5.7,0.2,0.4,0.13
2617.33,2623.88,0.7,0.12,6.04,14.86,14.74,14.04,13.69,3.8,0.12,0.7,0.35
2060.11,2628.08,0.2,-0.15,2.26,10.31,10.46,10.26,10.22,3,-0.15,0.2,0.04
2129.88,2628.87,0.81,0.22,7.73,16.76,16.54,15.73,15.36,2.8,0.22,0.81,0.37
2001.33,2651.29,0.67,0.07,5.83,14.57,14.5,13.83,13.51,3.4,0.07,0.67,0.32
2814.19,2662.4,1.1,0.48,7.82,17.4,16.92,15.82,15.19,5,0.48,1.1,0.63
3203.49,2663.89,0.65,0.18,7.12,15.95,15.77,15.12,14.74,7.4,0.18,0.65,0.38
2969.37,2665.02,0.64,0.04,5.79,14.47,14.43,13.79,13.49,6,0.04,0.64,0.3
2476.61,2671.46,0.99,0.52,7.84,17.35,16.83,15.84,15.29,3.5,0.52,0.99,0.55
2795.45,2675.45,1.12,0.68,7.96,17.76,17.08,15.96,15.37,5,0.68,1.12,0.59
2507.28,2678.1,0.76,0.17,6.91,15.84,15.67,14.91,14.47,3.6,0.17,0.76,0.44
3468.21,2682.33,0.48,0.26,7.73,16.47,16.21,15.73,15.43,9.2,0.26,0.48,0.3
2757.38,2683.47,0.51,0.25,6.57,15.33,15.08,14.57,14.36,4.8,0.25,0.51,0.21
2026.6,2684.13,0.79,0.13,6.71,15.63,15.5,14.71,14.36,3.5,0.13,0.79,0.35
2971.38,2693.16,0.4,0.21,4.52,13.13,12.92,12.52,12.4,6.1,0.21,0.4,0.12
2522.01,2703.85,0.55,0.22,4.97,13.74,13.52,12.97,12.74,3.8,0.22,0.55,0.23
3592.71,2714.95,0.44,0.23,7.49,16.16,15.93,15.49,15.42,10.1,0.23,0.44,0.07
2363.45,2721.42,1.44,1.43,7.03,17.9,16.47,15.03,14.32,3.5,1.43,1.44,0.71
2299.21,2728.88,0.74,0.45,7.82,17.01,16.56,15.82,15.41,3.5,0.45,0.74,0.41
2140.64,2730.57,0.37,0.19,4.33,12.89,12.7,12.33,12.2,3.5,0.19,0.37,0.13
2322.36,2731.48,0.45,0.12,7.32,15.89,15.77,15.32,15.14,3.5,0.12,0.45,0.18
3491.44,2733.56,0.45,0.13,4.93,13.51,13.38,12.93,12.77,9.5,0.13,0.45,0.16
2012.37,2734.83,0.37,0.2,4.4,12.97,12.77,12.4,12.3,3.8,0.2,0.37,0.1
2064.49,2740.18,0.62,0.27,6.41,15.3,15.03,14.41,14.1,3.7,0.27,0.62,0.31
2908.45,2743.39,0.85,0.24,6.76,15.85,15.61,14.76,14.35,5.9,0.24,0.85,0.41
3436.22,2746.39,0.6,0.26,7.38,16.24,15.98,15.38,15.13,9.2,0.26,0.6,0.25
2559.85,2759.4,0.81,0.21,7.23,16.25,16.04,15.23,14.78,4.3,0.21,0.81,0.45
2439.56,2774.8,0.57,0.23,5.63,14.43,14.2,13.63,13.37,4,0.23,0.57,0.26
3415.88,2776.44,0.2,0.13,4.09,12.42,12.29,12.09,11.98,9.1,0.13,0.2,0.11
3857.58,2778.04,0.38,0.19,6.36,14.93,14.74,14.36,14.19,12,0.19,0.38,0.17
2854.35,2793.34,0.2,-0.05,3.1,11.25,11.3,11.1,11.04,5.8,-0.05,0.2,0.06
2381.93,2800.86,0.21,-0.05,2.5,10.66,10.71,10.5,10.47,4.1,-0.05,0.21,0.03
2732.98,2801.72,0.56,0.07,3.9,12.53,12.46,11.9,11.69,5.3,0.07,0.56,0.21
2180.9,2807.8,0.66,0.11,5.33,14.1,13.99,13.33,13.02,4,0.11,0.66,0.31
2069.16,2810.83,0.66,0.42,7.38,16.46,16.04,15.38,15.06,4.2,0.42,0.66,0.32
3929.91,2820.28,0.51,0.33,7.92,16.76,16.43,15.92,15.7,12.6,0.33,0.51,0.22
3507.05,2826.38,1.14,0.73,5.57,15.44,14.71,13.57,13.04,9.9,0.73,1.14,0.53
3400.03,2842.56,0.27,0.12,4.11,12.5,12.38,12.11,12.05,9.2,0.12,0.27,0.06
2954.58,2844.89,0.2,-0.2,1.94,9.94,10.14,9.94,9.88,6.6,-0.2,0.2,0.06
2441.92,2856,0.2,0.01,3.25,11.46,11.45,11.25,11.23,4.6,0.01,0.2,0.02
2041.11,2868.59,0.6,0.25,6.22,15.07,14.82,14.22,13.96,4.7,0.25,0.6,0.26
2295.28,2869.6,0.2,0.06,3.7,11.96,11.9,11.7,11.65,4.5,0.06,0.2,0.05
3473.85,2870.1,0.54,0.25,6.21,15,14.75,14.21,14,9.8,0.25,0.54,0.21
2858.87,2880.77,0.54,0.15,5.16,13.85,13.7,13.16,12.92,6.3,0.15,0.54,0.24
3902.72,2888,0.82,0.39,7.43,16.64,16.25,15.43,15,12.6,0.39,0.82,0.43
2642.02,2892.34,0.89,0.35,6.49,15.73,15.38,14.49,14.02,5.4,0.35,0.89,0.47
3303.69,2892.63,0.41,0.15,4.51,13.07,12.92,12.51,12.38,8.8,0.15,0.41,0.13
3426.45,2907.65,0.63,0.07,5.87,14.57,14.5,13.87,13.57,9.6,0.07,0.63,0.3
3103.48,2933.2,1.07,0.42,7.18,16.67,16.25,15.18,14.63,7.8,0.42,1.07,0.55
2544.41,2939.21,0.87,0.3,7.39,16.56,16.26,15.39,14.95,5.4,0.3,0.87,0.44
2479.98,2940.8,0.71,0.23,7.91,16.85,16.62,15.91,15.54,5.2,0.23,0.71,0.37
3526.21,2953.09,0.58,0.25,6.62,15.45,15.2,14.62,14.37,10.4,0.25,0.58,0.25
3343.43,2953.17,0.94,-0.06,7.97,16.85,16.91,15.97,15.5,9.3,-0.06,0.94,0.47
2717.54,2964.23,0.95,0.38,7.84,17.17,16.79,15.84,15.34,6.1,0.38,0.95,0.5
3172.35,2969.57,0.68,0.13,6.38,15.19,15.06,14.38,14.05,8.4,0.13,0.68,0.33
3650.6,2980.01,0.43,0.16,7.19,15.78,15.62,15.19,15.1,11.3,0.16,0.43,0.09
3919.69,3003.39,0.88,0.26,7.65,16.79,16.53,15.65,15.25,13,0.26,0.88,0.4
2162.71,3004.71,0.43,-0.17,5.84,14.1,14.27,13.84,13.67,5.4,-0.17,0.43,0.17
2835.85,3007.71,0.14,-0.22,2.26,10.18,10.4,10.26,10.23,6.9,-0.22,0.14,0.03
3743.23,3036.75,0.82,0.31,7.09,16.22,15.91,15.09,14.71,12,0.31,0.82,0.38
3322.07,3040.72,0.73,0.1,7.18,16.01,15.91,15.18,14.81,9.5,0.1,0.73,0.37
2660.63,3052.46,0.38,0.21,4.57,13.16,12.95,12.57,12.42,6.5,0.21,0.38,0.15
3688.71,3056.95,0.75,0.33,7.91,16.99,16.66,15.91,15.51,11.8,0.33,0.75,0.4
2140.24,3059.51,0.56,0.14,5.5,14.2,14.06,13.5,13.23,5.8,0.14,0.56,0.27
3919.83,3070.05,0.69,0.06,6.23,14.98,14.92,14.23,13.9,13.2,0.06,0.69,0.33
2833.01,3087.04,0.7,0.13,5.99,14.82,14.69,13.99,13.65,7.3,0.13,0.7,0.34
3058.05,3087.18,0.36,-0.1,6.07,14.33,14.43,14.07,13.92,8.3,-0.1,0.36,0.15
3457.1,3097.09,0.83,0.34,6.69,15.86,15.52,14.69,14.26,10.5,0.34,0.83,0.43
2521.12,3100.19,0.58,0.35,7.63,16.56,16.21,15.63,15.39,6.4,0.35,0.58,0.24
2391.57,3107.65,0.6,0.17,7.95,16.72,16.55,15.95,15.63,6.2,0.17,0.6,0.32
3371.69,3108.61,0.57,0.07,5.54,14.18,14.11,13.54,13.28,10.1,0.07,0.57,0.26
3115.19,3118.81,0.68,0.59,7.94,17.21,16.62,15.94,15.57,8.8,0.59,0.68,0.37
3223.63,3120.56,0.73,0.27,6.8,15.8,15.53,14.8,14.43,9.3,0.27,0.73,0.37
3928.54,3120.64,0.53,0.05,5.38,13.96,13.91,13.38,13.16,13.5,0.05,0.53,0.22
2622.58,3123.28,0.12,-0.23,1.36,9.25,9.48,9.36,9.34,6.8,-0.23,0.12,0.02
2327.4,3139.81,0.5,0.3,6.81,15.61,15.31,14.81,14.63,6.4,0.3,0.5,0.18
2591.72,3169.16,0.7,0.37,7.11,16.18,15.81,15.11,14.73,7,0.37,0.7,0.38
3151.64,3173.79,0.66,0.09,6.12,14.87,14.78,14.12,13.8,9.2,0.09,0.66,0.32
3265.35,3182.02,0.78,0.2,7.16,16.14,15.94,15.16,14.77,9.8,0.2,0.78,0.39
2235.76,3188.63,0.59,0.21,7.98,16.78,16.57,15.98,15.78,6.7,0.21,0.59,0.2
3510.68,3193.22,1.46,2.1,7.96,19.52,17.42,15.96,15.23,11.2,2.1,1.46,0.73
2911.17,3195.44,0.49,0.22,6.36,15.07,14.85,14.36,14.14,8.2,0.22,0.49,0.22
2858.4,3196,0.9,0.44,7.58,16.92,16.48,15.58,15.14,8,0.44,0.9,0.44
2106.56,3215.86,0.9,0.35,7.84,17.09,16.74,15.84,15.28,7,0.35,0.9,0.56
2344.55,3224.42,0.79,0.12,7.46,16.37,16.25,15.46,15.04,7,0.12,0.79,0.42
3750.53,3228.59,0.32,0.32,7.87,16.51,16.19,15.87,15.74,12.8,0.32,0.32,0.13
2174.96,3244.8,0.59,0.11,5.6,14.3,14.19,13.6,13.33,7.1,0.11,0.59,0.27
2539.75,3252.51,0.54,0.25,6,14.79,14.54,14,13.75,7.5,0.25,0.54,0.25
3167.01,3254.74,0.15,-0.15,1.79,9.79,9.94,9.79,9.83,9.7,-0.15,0.15,-0.04
2371.97,3257.42,1.6,1.22,7.06,17.88,16.66,15.06,14.21,7.2,1.22,1.6,0.85
3691.33,3260.21,0.88,0.47,7.74,17.09,16.62,15.74,15.24,12.5,0.47,0.88,0.5
3887.08,3262.11,0.44,0.23,7.57,16.24,16.01,15.57,15.36,13.7,0.23,0.44,0.21
2457.48,3262.62,0.94,0.76,6.55,16.25,15.49,14.55,14.11,7.4,0.76,0.94,0.44
3859.3,3272.23,0.84,0.18,7.21,16.23,16.05,15.21,14.8,13.6,0.18,0.84,0.41
2958.15,3284.05,0.52,0.1,5.3,13.92,13.82,13.3,13.08,8.9,0.1,0.52,0.22
2425.6,3286.86,0.77,0.22,6.48,15.47,15.25,14.48,14.08,7.5,0.22,0.77,0.4
3523.93,3288.69,0.18,0.01,3.2,11.39,11.38,11.2,11.22,11.7,0.01,0.18,-0.02
3523.93,3288.69,0.18,0.01,3.2,11.39,11.38,11.2,11.22,11.7,0.01,0.18,-0.02
3111.27,3296.33,0.99,0.62,7.65,17.26,16.64,15.65,15.13,9.7,0.62,0.99,0.52
3570.17,3299.08,0.74,0.19,6.82,15.75,15.56,14.82,14.42,12,0.19,0.74,0.4
3188.71,3299.8,0.87,0.45,7.83,17.15,16.7,15.83,15.37,10,0.45,0.87,0.46
2508.69,3306.1,0.93,0.85,6.3,16.08,15.23,14.3,13.85,7.8,0.85,0.93,0.45
2137.72,3317.66,0.53,0.28,7.8,16.61,16.33,15.8,15.59,7.6,0.28,0.53,0.21
2949.78,3337.67,1.6,1.58,5.7,16.88,15.3,13.7,12.87,9.2,1.58,1.6,0.83
3780.48,3339.85,0.64,0.08,5.96,14.68,14.6,13.96,13.68,13.4,0.08,0.64,0.28
3393.13,3339.98,0.69,0.16,6.52,15.37,15.21,14.52,14.18,11.3,0.16,0.69,0.34
3086.42,3343.51,0.55,0.23,5.42,14.2,13.97,13.42,13.2,9.8,0.23,0.55,0.22
3456.52,3345.85,0.89,0.49,6.15,15.53,15.04,14.15,13.78,11.6,0.49,0.89,0.37
2354.34,3355.38,0.59,0.32,5.99,14.9,14.58,13.99,13.71,7.9,0.32,0.59,0.28
3967.94,3359,1.12,1.16,7.31,17.59,16.43,15.31,14.69,14.6,1.16,1.12,0.62
3564.63,3363.61,0.77,0.2,6.27,15.24,15.04,14.27,13.88,12.3,0.2,0.77,0.39
3088.43,3371.35,1,0.71,6.19,15.9,15.19,14.19,13.68,10,0.71,1,0.51
2791.14,3373.16,0.59,0.33,7.55,16.47,16.14,15.55,15.23,8.9,0.33,0.59,0.32
2753.72,3377.87,1.38,0.75,7.43,17.56,16.81,15.43,14.73,8.8,0.75,1.38,0.7
3156.97,3378.79,0.35,0.1,6.67,15.12,15.02,14.67,14.53,10.3,0.1,0.35,0.14
3585.34,3383.1,0.54,0.02,4.54,13.1,13.08,12.54,12.31,12.5,0.02,0.54,0.23
2066.83,3385.04,0.73,0.15,6.56,15.44,15.29,14.56,14.22,8.2,0.15,0.73,0.34
3818.31,3398.59,0.4,0.2,5.67,14.27,14.07,13.67,13.53,13.8,0.2,0.4,0.14
3541.22,3401.93,0.21,0.05,3.51,11.77,11.72,11.51,11.5,12.3,0.05,0.21,0.01
3442.56,3410.08,0.67,0.2,5.3,14.17,13.97,13.3,12.98,11.9,0.2,0.67,0.32
3053.08,3439.21,0.74,0.11,6.32,15.17,15.06,14.32,13.96,10.2,0.11,0.74,0.36
