X,Y,(B-V)_0,(U-B)_0,M_V=m_v-5logd+5-A_V,m_U,m_B,m_V,m_R,Radius,U-B,B-V,V-R
416.25,1532.77,0.9,0.4,7.18,16.48,16.08,15.18,14.7,13.9,0.4,0.9,0.48
74.49,1560.98,0.38,0.14,3.85,12.37,12.23,11.85,11.68,16.1,0.14,0.38,0.17
1455.8,1566.62,0.62,0.07,5.96,14.65,14.58,13.96,13.64,7.4,0.07,0.62,0.32
1253.69,1566.77,1.09,0.08,5.51,14.68,14.6,13.51,12.93,8.5,0.08,1.09,0.58
1220.01,1566.79,0.89,0.32,7.54,16.75,16.43,15.54,15.03,8.7,0.32,0.89,0.51
1826.92,1571.62,0.32,0.11,4.03,12.46,12.35,12.03,11.95,5.6,0.11,0.32,0.08
1078.56,1581.18,0.41,-0.03,5.29,13.67,13.7,13.29,13.09,9.5,-0.03,0.41,0.2
1891,1581.49,0.56,0.31,6.75,15.62,15.31,14.75,14.46,5.3,0.31,0.56,0.29
1803.45,1589.97,1.36,1.68,7.56,18.6,16.92,15.56,14.81,5.6,1.68,1.36,0.75
1602.72,1592.12,0.91,0.19,7.99,17.09,16.9,15.99,15.53,6.5,0.19,0.91,0.46
663.69,1594.7,1.02,0.27,7.67,16.96,16.69,15.67,15.21,12.1,0.27,1.02,0.46
1456.36,1600.24,0.83,0.27,7.59,16.69,16.42,15.59,15.11,7.2,0.27,0.83,0.48
1176.08,1628.21,0.99,0.79,7.65,17.43,16.64,15.65,15.08,8.7,0.79,0.99,0.57
1613.54,1629.02,0.84,0.4,6.73,15.97,15.57,14.73,14.29,6.2,0.4,0.84,0.44
1020.05,1631.58,0.51,0.21,4.33,13.05,12.84,12.33,12.09,9.7,0.21,0.51,0.24
1810.98,1635.94,0.11,-0.32,2.24,10.03,10.35,10.24,10.24,5.3,-0.32,0.11,0
1391.08,1641.87,0.77,0.3,7.29,16.36,16.06,15.29,14.89,7.4,0.3,0.77,0.4
1766.37,1648.08,0.58,0.15,3.68,12.41,12.26,11.68,11.4,5.4,0.15,0.58,0.28
140.85,1673.62,0.79,0.2,6.28,15.27,15.07,14.28,13.89,15.4,0.2,0.79,0.39
817.03,1677.06,0.74,0.24,6.05,15.03,14.79,14.05,13.67,10.9,0.24,0.74,0.38
1078.7,1686.25,1.05,0.75,7.59,17.39,16.64,15.59,15.1,9.1,0.75,1.05,0.49
1003.14,1689.32,0.35,0.2,4.32,12.87,12.67,12.32,12.21,9.6,0.2,0.35,0.11
287.99,1691.17,0.67,0.09,5.99,14.75,14.66,13.99,13.69,14.4,0.09,0.67,0.3
55.51,1701.22,0.56,0.3,6.98,15.84,15.54,14.98,14.7,16,0.3,0.56,0.28
1195.77,1741.17,0.55,0.2,4.8,13.55,13.35,12.8,12.56,8.2,0.2,0.55,0.24
1593.28,1763.79,0.8,0.27,4.94,14.01,13.74,12.94,12.56,5.7,0.27,0.8,0.38
1926.58,1770.98,1.37,1.17,7.16,17.7,16.53,15.16,14.45,4,1.17,1.37,0.71
410.28,1771.03,0.81,0.24,7.1,16.15,15.91,15.1,14.74,13.4,0.24,0.81,0.36
1514.9,1771.83,0.51,0.15,4.84,13.5,13.35,12.84,12.62,6.1,0.15,0.51,0.22
271.61,1784.4,0.79,0.27,7.66,16.72,16.45,15.66,15.21,14.3,0.27,0.79,0.45
1054.36,1814.64,0.89,0.29,7.62,16.8,16.51,15.62,15.14,8.9,0.29,0.89,0.48
981.34,1823.51,1.41,0.92,7.01,17.34,16.42,15.01,14.26,9.4,0.92,1.41,0.75
734.2,1829.6,0.3,0.11,3.99,12.4,12.29,11.99,11.91,11.1,0.11,0.3,0.08
578.47,1835.3,0.98,0.57,7.33,16.88,16.31,15.33,14.82,12.1,0.57,0.98,0.51
1350.37,1835.63,0.66,0.14,5.04,13.84,13.7,13.04,12.73,7,0.14,0.66,0.31
322.78,1837.77,0.7,0.2,6.57,15.47,15.27,14.57,14.18,13.9,0.2,0.7,0.39
1610.72,1859.38,0.68,0.14,6.31,15.13,14.99,14.31,13.96,5.2,0.14,0.68,0.35
698.63,1859.94,0.96,0.35,7.63,16.94,16.59,15.63,15.13,11.3,0.35,0.96,0.5
218.83,1865.22,1.89,1.86,4.77,16.52,14.66,12.77,11.29,14.6,1.86,1.89,1.48
1810.76,1865.24,0.52,0.39,7.6,16.51,16.12,15.6,15.35,4.1,0.39,0.52,0.25
1604.48,1889.73,0.81,0.19,7.5,16.5,16.31,15.5,15.06,5.2,0.19,0.81,0.44
1980.43,1899.03,0.83,0.19,6.95,15.97,15.78,14.95,14.55,3.1,0.19,0.83,0.4
1689.81,1902.09,0.98,0.34,7.51,16.83,16.49,15.51,15.08,4.6,0.34,0.98,0.43
1875.95,1913.19,0.36,-0.02,5.07,13.41,13.43,13.07,12.94,3.5,-0.02,0.36,0.13
1791.48,1929.35,0.25,0.04,2.6,10.89,10.85,10.6,10.54,3.9,0.04,0.25,0.06
1680.98,1931.37,0.42,0.04,7.75,16.21,16.17,15.75,15.64,4.6,0.04,0.42,0.11
708.8,1934.05,0.83,0.3,7.8,16.93,16.63,15.8,15.27,11.1,0.3,0.83,0.53
228.31,1936.91,0.84,0.32,7.5,16.66,16.34,15.5,15.07,14.4,0.32,0.84,0.43
